date,AAPL_close,MSFT_close,GOOGL_close,AMZN_close,META_close,NVDA_close,JPM_close,BAC_close,XOM_close,CVX_close,JNJ_close,PFE_close,WMT_close,PG_close,KO_close
2021-01-04 05:00:00,129.41,217.69,86.3065,159.3315,268.94,13.1135,125.87,30.03,41.5,84.71,156.5,36.81,48.8433,137.82,52.76
2021-01-05 05:00:00,131.01,217.9,87.0025,160.9255,270.97,13.4048,125.65,30.26,43.5,87.0,158.34,37.19,48.5833,138.7,52.18
2021-01-06 05:00:00,126.6,212.25,86.144,156.919,263.31,12.6145,131.55,32.15,44.61,89.8,159.83,36.87,48.8867,140.16,50.52
2021-01-07 05:00:00,130.92,218.29,88.717,158.108,268.74,13.344,135.87,32.86,44.96,90.22,160.37,37.06,48.8833,138.85,49.96
2021-01-08 05:00:00,132.05,219.62,89.8915,159.135,267.57,13.2768,136.02,32.53,45.46,91.08,160.04,37.13,48.8767,138.79,51.08
2021-01-11 05:00:00,128.98,217.49,87.8145,155.7105,256.84,13.6215,138.05,33.07,46.84,91.6,159.37,37.77,49.0967,137.85,50.2
2021-01-12 05:00:00,128.8,214.93,86.8715,156.0415,251.09,13.4848,140.22,33.66,47.88,93.34,158.13,37.18,49.6567,137.05,50.11
2021-01-13 05:00:00,130.89,216.34,87.3625,158.2945,251.64,13.5318,140.35,33.46,48.42,93.25,157.89,36.86,49.15,137.26,50.16
2021-01-14 05:00:00,128.91,213.02,86.546,156.3735,245.64,13.2003,141.17,33.99,50.31,95.49,160.65,36.75,48.99,135.8,49.23
2021-01-15 05:00:00,127.14,212.65,86.381,155.2125,251.36,12.8595,138.64,33.01,47.89,92.09,160.3,36.7,48.2133,134.78,48.7
2021-01-19 05:00:00,127.83,216.44,89.2235,156.038,261.1,13.0253,138.04,32.77,48.84,94.51,162.78,36.73,47.7967,133.6,48.51
2021-01-20 05:00:00,132.03,224.34,94.0035,163.169,267.48,13.3658,135.97,32.34,49.53,95.38,162.38,36.5,48.5033,131.93,48.68
2021-01-21 05:00:00,136.87,224.97,94.2075,165.3495,272.87,13.8675,134.83,31.77,48.11,92.01,161.73,36.48,48.2833,131.01,48.95
2021-01-22 05:00:00,139.07,225.95,94.628,164.6115,274.5,13.7125,133.79,31.55,47.43,91.73,163.55,36.55,48.7767,130.0,48.49
2021-01-25 05:00:00,142.92,229.53,94.714,164.7,278.01,13.6533,132.12,31.16,46.9,90.9,165.98,37.28,48.7333,132.24,48.78
2021-01-26 05:00:00,143.16,232.33,95.3975,166.3065,282.05,13.4353,131.58,30.94,45.87,89.36,170.48,37.31,49.17,133.09,49.29
2021-01-27 05:00:00,142.06,232.9,90.947,161.629,272.14,12.9178,127.86,29.83,45.35,88.2,167.88,36.24,47.9467,128.38,48.53
2021-01-28 05:00:00,137.09,238.93,92.66,161.881,265.0,13.051,130.11,30.32,46.06,89.02,169.16,35.86,47.9167,130.36,49.15
2021-01-29 05:00:00,131.96,231.96,91.368,160.31,258.33,12.9898,128.67,29.65,44.84,85.2,163.13,35.9,46.83,128.21,48.15
2021-02-01 05:00:00,134.14,239.65,94.6535,167.144,262.01,13.237,129.62,29.96,44.92,86.41,162.71,35.8,46.4233,128.97,48.48
2021-02-02 05:00:00,134.99,239.51,95.956,169.0,267.08,13.5568,133.61,31.03,45.63,87.06,161.25,34.99,46.9233,128.79,48.96
2021-02-03 05:00:00,133.94,243.0,102.944,165.6265,266.65,13.5305,135.14,31.58,47.42,88.96,160.5,34.84,47.0667,128.95,48.77
