,RET,RET,RET,RET,RET,RET,RET,RET,RET,RET,RET,RET,RET,RET,RET,VOL,VOL,VOL,VOL,VOL,VOL,VOL,VOL,VOL,VOL,VOL,VOL,VOL,VOL,VOL,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,ROLLING_ZSCORE,SMA,SMA,SMA,SMA,SMA,SMA,SMA,SMA,SMA,SMA,SMA,SMA,SMA,SMA,SMA
,AAPL_close,MSFT_close,GOOGL_close,AMZN_close,META_close,NVDA_close,JPM_close,BAC_close,XOM_close,CVX_close,JNJ_close,PFE_close,WMT_close,PG_close,KO_close,AAPL_close,MSFT_close,GOOGL_close,AMZN_close,META_close,NVDA_close,JPM_close,BAC_close,XOM_close,CVX_close,JNJ_close,PFE_close,WMT_close,PG_close,KO_close,AAPL_close,MSFT_close,GOOGL_close,AMZN_close,META_close,NVDA_close,JPM_close,BAC_close,XOM_close,CVX_close,JNJ_close,PFE_close,WMT_close,PG_close,KO_close,AAPL_close,MSFT_close,GOOGL_close,AMZN_close,META_close,NVDA_close,JPM_close,BAC_close,XOM_close,CVX_close,JNJ_close,PFE_close,WMT_close,PG_close,KO_close
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05 05:00:00,0.012287997332000481,0.0009642095377292317,0.008031939964980766,0.009954587490294623,0.007519807249146346,0.02197061784832443,-0.001749364313812373,0.007629826364971025,0.04706751085798573,0.026674460211124233,0.011688609763079918,0.010270360546048705,-0.005337364071575992,0.006364841391724034,-0.011054048140531455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06 05:00:00,-0.034241146455503475,-0.026271416759117483,-0.00991653929169922,-0.025211776324220253,-0.028676068372734256,-0.06076590581779554,0.04588674349670057,0.060585742323418436,0.025197111045534973,0.03167685665357012,0.009366130637274414,-0.00864169569092556,0.006225525390575947,0.010471299867295437,-0.032329982226291985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07 05:00:00,0.03355393992290386,0.028059628794814277,0.02943121364111952,0.007548595173687909,0.020412324175127897,0.05621989966360767,0.032311538749930445,0.02184366192549375,0.007815156445262239,0.004666156672096001,0.0033728951401552753,0.005140008611160679,-6.955098703838639e-05,-0.009390413435272747,-0.011146612224913434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08 05:00:00,0.008594189110161592,0.006074326183296084,0.013151859284717331,0.006474554758584298,-0.004363155101038078,-0.0050486944599792225,0.0011033875112603946,-0.01009337212386186,0.011059612838961435,0.009487109215289013,-0.002059861531683231,0.0018870473317750514,-0.0001350245501232392,-0.0004322143850601866,0.022170345906961597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 05:00:00,-0.023523285160910033,-0.009745907709297785,-0.02337675243863304,-0.021754384633613608,-0.04092789142037818,0.02563127565944383,0.014814004628670852,0.016463786508441363,0.0299047203051196,0.00569303048454578,-0.00419524111749191,0.017089868535376706,0.004491022456504571,-0.0067958618979426155,-0.0173780044666549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12 05:00:00,-0.0013965399119778771,-0.011840478741084941,-0.010796619765813963,0.002123483566285415,-0.022641882326343024,-0.010086301628177493,0.015596679402657963,0.017683661768958525,0.021960341960255834,0.018817468841585017,-0.007811063336317162,-0.015744154431067678,0.01134150323343311,-0.005820314721010777,-0.001794437726050252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 05:00:00,0.016096462133374498,0.006538850482959005,0.005636113499649276,0.014335224614693613,0.002188054102324399,0.0034793458403027033,0.0009266850290699467,-0.005959493203981922,0.011215070820140003,-0.0009646819977446134,-0.0015188915014279374,-0.008644030051620706,-0.010256479406086932,0.0015311147316935626,0.000997307353031883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 05:00:00,-0.015242789348614434,-0.015465186187123848,-0.009390064309104924,-0.012209845711780179,-0.024132445240630445,-0.024802914421188826,0.005825535088216738,0.015715668149346808,0.03829091299331481,0.02373747143818614,0.017329497528070267,-0.002988726582831495,-0.0032606509426920186,-0.010693722355892723,-0.018714702554556005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 05:00:00,-0.013825644946750659,-0.001738436315377187,-0.0019083202747192964,-0.007452230671969043,0.023019125046112563,-0.026156718802008636,-0.018084192488757648,-0.0292558178429231,-0.049297150148709175,-0.0362551702288354,-0.0021810259463601145,-0.0013614705983209633,-0.01598127904664723,-0.0075393956065249,-0.010824163681564969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19 05:00:00,0.005412414671667555,0.017665751074891912,0.03237671358371351,0.005304421587001777,0.038017301197772115,0.0128107821989588,-0.00433714717754797,-0.00729708315437823,0.019642934887985943,0.025939289273689093,0.015352536283388087,0.0008171047710510898,-0.008678317146538368,-0.008793558415525664,-0.003909067831419069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 05:00:00,0.032327913311179346,0.035849385442542785,0.0521875578162506,0.044686906176679905,0.024141321480694547,0.0258055856333668,-0.015109225062207993,-0.013208608561762427,0.014028897357642449,0.009163263863113438,-0.002460328464595019,-0.006281599243130075,0.014675237408553173,-0.012578782206860073,0.0034983058622012047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21 05:00:00,0.0360024007320652,0.002804301764330425,0.0021677806279933156,0.013274942027866693,0.019950694108300443,0.03684876731014341,-0.008419547521611365,-0.017782405867536148,-0.029088490888784055,-0.03597164607580832,-0.0040109893026133644,-0.0005480953823152442,-0.0045460916881872645,-0.006997822730106061,0.0055311008571929795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 05:00:00,0.01594583326734442,0.004346675875881034,0.004453619102780297,-0.004473263389429859,0.005955769655506913,-0.011240147345903883,-0.007743319160455452,-0.00694885929420258,-0.014235115821871985,-0.0030477872727056946,0.011190475852705956,0.001917020989656925,0.010166994645193553,-0.0077392057099968155,-0.00944177785925847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25 05:00:00,0.02730762966468942,0.015720004054581484,0.0009084091845865327,0.0005374850385154034,0.012705823317124417,-0.004326574947436308,-0.01256080596293897,-0.012438367984674653,-0.011237264437256674,-0.009089478338131054,0.01474854518590884,0.019775803621603128,-0.0008901651700506961,0.017084003057186468,0.005962801670513285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26 05:00:00,0.0016778527426161351,0.012125034875326434,0.007190548125390834,0.009706834240626313,0.014427275919275355,-0.016095679099997862,-0.00409556886473697,-0.007085375857627376,-0.022206366843153132,-0.017086846422487985,0.026750688620059814,0.0008043974156761554,0.008921106771041472,0.006407137585695928,0.01040082792951215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27 05:00:00,-0.007713382328161091,0.002450402103098711,-0.047775453396708634,-0.028528885991883628,-0.03576772042327277,-0.03927936633628281,-0.028679116319271142,-0.03653524661826301,-0.011401132047934954,-0.013066191748199632,-0.01536854932497159,-0.029097906058287847,-0.02519370415198154,-0.036030975214832686,-0.015539057300161505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 05:00:00,-0.035611859121855015,0.025561445112144004,0.01865996072507276,0.0015579119716169134,-0.02658681377649017,0.01025855396775895,0.017444331176803964,0.016292962247513917,0.015534717831393485,0.009254100574962487,0.00759557413889773,-0.01054101299779187,-0.0006258906105844017,0.015305238085728907,0.012694683176050736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29 05:00:00,-0.03813879808742826,-0.029605678994199372,-0.014041572240196459,-0.009752056702371814,-0.025491988610038773,-0.004700325080223578,-0.011129259318486025,-0.022345435330436553,-0.026844296188579943,-0.043859629752438116,-0.036297583656076625,0.0011148273172463632,-0.02294006346583169,-0.01663030940475154,-0.02055570834904101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 05:00:00,0.016385184311210322,0.032614582597400396,0.03532754756460123,0.04174627561836763,0.014144833595467485,0.018851504626466606,0.0073561058026713,0.010401033205284353,0.0017825316662831252,0.01410197601803787,-0.0025779537969835434,-0.0027894020875786365,-0.008722534828543679,0.005910274611690502,0.0068302035169243835,,,,,,,,,,,,,,,,0.19758883111102385,1.9247776709888444,1.2873022059575419,1.7660649342801236,-0.2532576410824528,-0.15157456968432984,-0.8609111851502919,-1.2788285835465898,-0.713661124163791,-1.3198221223393567,0.17027262624427952,-1.823709253800093,-2.600466119416291,-1.3369728901390943,-0.8754176665357075,,,,,,,,,,,,,,,
